date,ticker,equity,price,cash
2026-03-05,TSLA,10225.09228302286,405.54998779296875,10225.09228302286
2026-03-06,TSLA,10225.09228302286,396.7300109863281,10225.09228302286
2026-03-09,TSLA,10225.09228302286,398.67999267578125,10225.09228302286
2026-03-10,TSLA,10225.09228302286,399.239990234375,10225.09228302286
2026-03-11,TSLA,10225.09228302286,407.82000732421875,10225.09228302286
2026-03-12,TSLA,10225.09228302286,395.010009765625,10225.09228302286
2026-03-13,TSLA,10225.09228302286,391.20001220703125,10225.09228302286
2026-03-16,TSLA,10225.09228302286,395.55999755859375,10225.09228302286
2026-03-17,TSLA,10225.09228302286,399.2699890136719,10225.09228302286
2026-03-18,TSLA,10225.09228302286,392.7799987792969,10225.09228302286
2026-03-19,TSLA,10225.09228302286,380.29998779296875,10225.09228302286
2026-03-20,TSLA,10225.09228302286,367.9599914550781,10225.09228302286
2026-03-23,TSLA,10225.09228302286,380.8500061035156,10225.09228302286
2026-03-24,TSLA,10225.09228302286,383.0299987792969,10225.09228302286
2026-03-25,TSLA,10225.09228302286,385.95001220703125,10225.09228302286
2026-03-26,TSLA,10225.09228302286,372.1099853515625,10225.09228302286
2026-03-27,TSLA,10225.09228302286,361.8299865722656,10225.09228302286
2026-03-30,TSLA,10225.09228302286,355.2799987792969,10225.09228302286
2026-03-31,TSLA,10225.09228302286,371.75,10225.09228302286
2026-04-01,TSLA,10225.09228302286,381.260009765625,10225.09228302286
2026-04-02,TSLA,10225.09228302286,360.5899963378906,10225.09228302286
2026-04-06,TSLA,10225.09228302286,352.82000732421875,10225.09228302286
2026-04-07,TSLA,10225.09228302286,346.6499938964844,10225.09228302286
2026-04-08,TSLA,10225.09228302286,343.25,10225.09228302286
2026-04-09,TSLA,10225.09228302286,345.6199951171875,10225.09228302286
2026-04-10,TSLA,10225.09228302286,348.95001220703125,10225.09228302286
2026-04-13,TSLA,10225.09228302286,352.4200134277344,10225.09228302286
2026-04-14,TSLA,10225.09228302286,364.20001220703125,10225.09228302286
2026-04-15,TSLA,10225.09228302286,391.95001220703125,10225.09228302286
2026-04-16,TSLA,10225.09228302286,388.8999938964844,10225.09228302286
2026-04-17,TSLA,10225.09228302286,400.6199951171875,10225.09228302286
2026-04-20,TSLA,10225.09228302286,392.5,10225.09228302286
2026-04-21,TSLA,10225.09228302286,386.4200134277344,10225.09228302286
2026-04-22,TSLA,10222.536009952104,387.510009765625,7666.262939196389
2026-04-24,TSLA,10129.102661260295,376.29998779296875,10129.102661260295
2026-04-27,TSLA,10129.102661260295,378.6700134277344,10129.102661260295
2026-04-28,TSLA,10129.102661260295,376.0199890136719,10129.102661260295
2026-04-29,TSLA,10129.102661260295,372.79998779296875,10129.102661260295
2026-04-30,TSLA,10129.102661260295,381.6300048828125,10129.102661260295
2026-05-01,TSLA,10126.57038559498,390.82000732421875,7594.294720279906
2026-05-19,TSLA,10210.062963911545,404.1099853515625,10210.062963911545
2026-05-20,TSLA,10210.062963911545,417.260009765625,10210.062963911545
2026-05-21,TSLA,10210.062963911545,417.8500061035156,10210.062963911545
2026-05-22,TSLA,10210.062963911545,426.010009765625,10210.062963911545
2026-05-26,TSLA,10210.062963911545,433.5899963378906,10210.062963911545
2026-05-27,TSLA,10210.062963911545,440.3599853515625,10210.062963911545
2026-05-28,TSLA,10210.062963911545,442.1000061035156,10210.062963911545
2026-05-29,TSLA,10210.062963911545,435.7900085449219,10210.062963911545
2026-06-01,TSLA,10210.062963911545,415.8800048828125,10210.062963911545
2026-06-02,TSLA,10210.062963911545,423.739990234375,10210.062963911545
2026-06-03,TSLA,10210.062963911545,423.70001220703125,10210.062963911545
2026-06-04,TSLA,10210.062963911545,418.45001220703125,10210.062963911545
2026-06-05,TSLA,10210.062963911545,391.0,10210.062963911545
